LyricsWiki-Page,Artist,Title,Spotify-ID,Spotify-explicit,Explicit,Strong language,Substance abuse,Sexual reference,References to violence,Discriminatory language
Cypecore:The Balance,Cypecore,The Balance,75I8gOsVOfe9GkKSawvX6k,0,0,0,0,0,0,0
Imagination Movers:Fix It Up,Imagination Movers,Fix It Up,7IqZUQz8BLMBrOSDNV02TM,0,0,0,0,0,0,0
Okkervil River:A Glow,Okkervil River,A Glow,6V7D6Hrm9Fhh99VmuAfEhN,0,1,0,0,0,1,0
Annihilator:Fire Power,Annihilator,Fire Power,4hbvGn4LJzisc9dPsQdaIq,0,1,0,0,0,1,0
Kidz Bop:You Found Me,Kidz Bop,You Found Me,5SxHUSGGi39lv2UxoqFEKV,0,0,0,0,0,0,0
Act:Snobbery And Decay,Act,Snobbery And Decay,45h0xbNmNMGuagsyulfQnB,0,0,0,0,0,0,0
Amy Grant:Father's Eyes,Amy Grant,Father's Eyes,39dCwla9fnPt3RQHjwPQ5s,0,0,0,0,0,0,0
The Bronx:Last Revelation,The Bronx,Last Revelation,6dtfTAfYkJw8EIgqXb2aeq,0,0,0,0,0,0,0
Al Denson:Never Out Of His Love,Al Denson,Never Out Of His Love,110HL790FFqmsucDiGhliK,0,0,0,0,0,0,0
David Myles:Lean Into The Wind,David Myles,Lean Into The Wind,3AzpUVdvkVExiIm1DcW1qI,0,0,0,0,0,0,0
Skinny Puppy:Shadow Cast,Skinny Puppy,Shadow Cast,5nW9RQkXgn9llim9ehErNl,0,1,0,0,0,1,0
Magica:The Weight Of The World,Magica,The Weight Of The World,0bvNWRaneemhW5Aw44Kslt,0,0,0,0,0,0,0
Kiss:Forever,Kiss,Forever,1xHnZnF0xFttilK7OsQ848,0,0,0,0,0,0,0
Luna:Going Home,Luna,Going Home,7oEz2lw3eccq9ej5UzFhPS,0,0,0,0,0,0,0
Dag Nasty:Circles,Dag Nasty,Circles,7EuYt3nnLOLKprkHdsOOX2,0,0,0,0,0,0,0
Dizzy Mizz Lizzy:For God's Sake,Dizzy Mizz Lizzy,For God's Sake,5S4iqai841zk0KfnGYpzdi,0,0,0,0,0,0,0
Dave Barnes:Can't Grow Tired Of Your Love,Dave Barnes,Can't Grow Tired Of Your Love,27HzPrYBnJOw9t22CH6BSa,0,0,0,0,0,0,0
Show Of Hands:Digging Down,Show Of Hands,Digging Down,2zArTld86CpJGhf8URmqGh,0,0,0,0,0,0,0
White Light Riot:Our Formative Capital,White Light Riot,Our Formative Capital,5ULpVmxHI2l0AqUloBMBOh,0,0,0,0,0,0,0
The Good Life:How Small We Are,The Good Life,How Small We Are,3E7Sp7KQfh6cukQpwqtdd0,0,1,1,0,0,0,0
Cole Porter:I'm A Gigolo,Cole Porter,I'm A Gigolo,2XqS00P5lvPKZPdgNDF4ni,0,0,0,0,0,0,0
Moe Bandy:Brotherly Love,Moe Bandy,Brotherly Love,3g3XoMLOM1lVVXksXyB1br,0,0,0,0,0,0,0
Emptyself:Doll Faced Vulture,Emptyself,Doll Faced Vulture,4IEiEye0H8yU0cfKjwLBhG,0,0,0,0,0,0,0
Aswad:Good Thing Going,Aswad,Good Thing Going,6QfSkceKpi2m34firr4fsZ,0,0,0,0,0,0,0
No Doubt:World Go 'Round,No Doubt,World Go 'Round,2kNkMVMOOstcdmUwuCTivN,0,0,0,0,0,0,0
Esmé Patterson:Francine,Esmé Patterson,Francine,5i82D6mX6UxMya69EPYxY5,0,0,0,0,0,0,0
Rascal Flatts:Forever,Rascal Flatts,Forever,4eqHcG3ffOYNGHxjDqY8Sv,0,0,0,0,0,0,0
"The Drums:Baby, That's Not The Point",The Drums,"Baby, That's Not The Point",4LUHTkZ7cowdnurcDPoNO1,0,0,0,0,0,0,0
Settevite:Now Or Never,Settevite,Now Or Never,1FX5RjKa319k1FNz19VPkX,0,0,0,0,0,0,0
Paul Gilbert:Koto Girl,Paul Gilbert,Koto Girl,6AokA0A7vo3dIbfkZfJf9u,0,0,0,0,0,0,0
Vertical Horizon:Better When You're Not There,Vertical Horizon,Better When You're Not There,1EYslOdyvrtELW08mXfBzP,0,0,0,0,0,0,0
Steve Archer:Through His Eyes Of Love,Steve Archer,Through His Eyes Of Love,7FHlZFDKc3BpDdPdtOoAug,0,0,0,0,0,0,0
Tara Oram:Taste Of The Good Life,Tara Oram,Taste Of The Good Life,7qGG7WalIEFPPiES66pFJp,0,0,0,0,0,0,0
Unitopia:Take Good Care,Unitopia,Take Good Care,25hQ7CsPLLyDQ9elKwuURj,0,0,0,0,0,0,0
Eric Hutchinson:Living In The Afterlife,Eric Hutchinson,Living In The Afterlife,0OaFGpWo2SALjXQGcWZRDs,0,0,0,0,0,0,0
The Oh Hellos:Passerine,The Oh Hellos,Passerine,4dHwaxPb66oOFA2WC3CQoW,0,0,0,0,0,0,0
H.E.A.T:Falling Down,H.E.A.T,Falling Down,61xxTW5JbTOCBGuDkc4cO3,0,0,0,0,0,0,0
Strike Anywhere:Gunpowder,Strike Anywhere,Gunpowder,3fBnoKJuU2JnLr0FaPNYV4,0,1,0,0,0,1,0
Root:The Birth,Root,The Birth,1e32K7b185HaCVI1ANkrhL,0,1,0,0,1,1,0
Lisa Marie Presley:Now What,Lisa Marie Presley,Now What,5daJfP9ZOzCkZxGSqmWtdx,0,0,0,0,0,0,0
Weston:Fafi,Weston,Fafi,3QelgRjqR2ePK5lXuX4fLC,0,0,0,0,0,0,0
Too Close To Touch:The Chase,Too Close To Touch,The Chase,5iShACpc3nn6QZ7jvDwErn,0,0,0,0,0,0,0
The Common Linnets:Before Complete Surrender,The Common Linnets,Before Complete Surrender,7m1pyNPLzb3vMvL1cCkICs,0,0,0,0,0,0,0
Evil Superstars:Pantomiming With Her Parents,Evil Superstars,Pantomiming With Her Parents,2mu6buiBmlG7voKXHkrXfv,0,1,1,0,0,0,0
Johnny Paycheck:(To Be So Bad) She's Still Lookin' Good,Johnny Paycheck,(To Be So Bad) She's Still Lookin' Good,187ZJYz54qDBcdfHDBtsbu,0,0,0,0,0,0,0
Butterglory:You'll Never Be (As Good As That),Butterglory,You'll Never Be (As Good As That),6pKnUq7Stv1fwrUnFkqKhH,0,0,0,0,0,0,0
Johnny Paycheck:Mainline,Johnny Paycheck,Mainline,4uNvc6opCQOVVKX4TGNWtp,0,0,0,0,0,0,0
The Jim Yoshii Pile-Up:Black And Gold,The Jim Yoshii Pile-Up,Black And Gold,4shDOAabbD3VavwlgMzxdE,0,1,0,1,0,0,0
Pentatonix:Winter Wonderland / Don't Worry Be Happy,Pentatonix,Winter Wonderland / Don't Worry Be Happy,2kPpxNSgXRvu5yqkRLKJIu,0,0,0,0,0,0,0
BT:Dreaming,BT,Dreaming,7H82j7tSByqSYMJ9OGjfie,0,0,0,0,0,0,0
Gwar:Penile Drip,Gwar,Penile Drip,6hbrFU7FFuvRX3uUp42Wap,0,1,1,0,1,0,0
High On Fire:De Vermis Mysteriis,High On Fire,De Vermis Mysteriis,6VGmpf9TakHmPlj83uDQxB,0,0,0,0,0,0,0
Steve Earle:Time Has Come Today,Steve Earle,Time Has Come Today,2wWGMOQJzgxlmMgEZAdLjN,0,0,0,0,0,0,0
Boston:Walk On (Some More),Boston,Walk On (Some More),1kJaY38MrWZ2Sh5bLmEQDZ,0,0,0,0,0,0,0
Sparklehorse:Ghost In The Sky,Sparklehorse,Ghost In The Sky,1uoFQl9Qqx4RPhpWa8cyZN,0,0,0,0,0,0,0
Wire:As We Go,Wire,As We Go,4JZ1S7WQUGw8alB2zro8ek,0,0,0,0,0,0,0
Terror:March To Redemption,Terror,March To Redemption,24Vuvzu5zIHNj74E5t0G4v,0,1,0,0,0,1,0
Gabrielle:Fallen Angel,Gabrielle,Fallen Angel,12JOeUCJYWjKjN72emP4Nh,0,0,0,0,0,0,0
Opus:Will You Ever Know Me,Opus,Will You Ever Know Me,4gycCKnTRoupDOQsbwcodW,0,0,0,0,0,0,0
Dr. Feelgood:Down At The Doctors,Dr. Feelgood,Down At The Doctors,3SXjpnFFU5spqHujdaw3aC,0,0,0,0,0,0,0
Kaledon:Valley Of The Death,Kaledon,Valley Of The Death,0uSqQLU9cEmxI21hPjOmqe,0,1,0,0,0,1,0
Balance Of Power:Chemical Imbalance,Balance Of Power,Chemical Imbalance,75Tcip0TBIgAZftlnsSHGH,0,0,0,0,0,0,0
"Commodores:Girl, I Think The World About You",Commodores,"Girl, I Think The World About You",5EFtP0CXQPYuDN9aGgpaNB,0,0,0,0,0,0,0
Vince Gill:The Only Love,Vince Gill,The Only Love,7DQKtToIYiHEPM4gZdNSnh,0,0,0,0,0,0,0
Paul Carrack:Too Good To Be True,Paul Carrack,Too Good To Be True,6wYgqBzOdKJ88BdjT4hj7V,0,0,0,0,0,0,0
Ida Cox:Last Mile Blues,Ida Cox,Last Mile Blues,1BkPQW9MvQnsjzBN91Jhna,0,1,0,0,0,1,0
The Datsuns:Hong Kong Fury,The Datsuns,Hong Kong Fury,3PU3Q2SwCNmCDGw6EWUstd,0,1,0,0,0,1,0
The Last Void:Pain Part 1,The Last Void,Pain Part 1,6MyB9tLeuMAfLJTPyGhU6B,0,0,0,0,0,0,0
Swans:I Am The Sun,Swans,I Am The Sun,5ynH1usUsvgeULHOpJh5k5,0,1,0,0,0,1,0
The Byrds:Don't Make Waves,The Byrds,Don't Make Waves,3A4UdD2GYzv0licBCKDfRF,0,0,0,0,0,0,0
Thumb:Exposure,Thumb,Exposure,1oQHkrCWh5aDiv1GksOUYA,0,0,0,0,0,0,0
Kay Starr:It's The Talk Of The Town,Kay Starr,It's The Talk Of The Town,18MC5yivSzbl9WQEFCNUar,0,0,0,0,0,0,0
Bosson:We Will Meet Again,Bosson,We Will Meet Again,6GIh6J4u8tDCAlpYLna58h,0,0,0,0,0,0,0
Mando Diao:Mean Street,Mando Diao,Mean Street,1UJhAS5RFW8aqwOhwgQC6F,0,0,0,0,0,0,0
Ozzy Osbourne:Civilize The Universe,Ozzy Osbourne,Civilize The Universe,0y4P83l4M2I7OFwYl3fYQk,0,1,0,0,0,1,0
"Dottie West:Mama, Kiss The Hurt Away",Dottie West,"Mama, Kiss The Hurt Away",2ZMkfpAV0Y7FmRltyBVXUb,0,0,0,0,0,0,0
No Doubt:Full Circle,No Doubt,Full Circle,1hGvTQBxA6KR55d9RHXuQ6,0,0,0,0,0,0,0
Peter Green Splinter Group:Traveling Riverside Blues,Peter Green Splinter Group,Traveling Riverside Blues,34SppaF8Hc2fvUJcuxVl9w,0,0,0,0,0,0,0
Magic Bullets:Will Scarlet,Magic Bullets,Will Scarlet,7bU24NQku2oEtUSHHJ5ab0,0,0,0,0,0,0,0
Cab Calloway:Tarzan Of Harlem,Cab Calloway,Tarzan Of Harlem,1lBuQWfheGXfgApt01UBoX,0,1,0,0,1,0,0
Deepest Blue:Turn Out Right,Deepest Blue,Turn Out Right,4OXp8Dkbvx9h9dG7djVnFZ,0,0,0,0,0,0,0
Half Japanese:Roman Candles,Half Japanese,Roman Candles,6QyhdgXuJGMiLTRGxI0G1O,0,0,0,0,0,0,0
Red Delicious:Grace,Red Delicious,Grace,35Ft16aI2TAbG0hwIkteKZ,0,0,0,0,0,0,0
Ann Peebles:Medley,Ann Peebles,Medley,4dnv99uhJdMN8cvqCICfAz,0,0,0,0,0,0,0
Inferis:Burning,Inferis,Burning,4Gyeh6udhOnY9ZBnvh3pFv,0,1,0,0,0,1,0
Michelle Branch:Goodbye To You,Michelle Branch,Goodbye To You,6NSJOIyKYcRZh28Kf0URTw,0,0,0,0,0,0,0
Ritchie Valens:Framed,Ritchie Valens,Framed,2oQvS4kb77VIwpih9t54Xt,0,0,0,0,0,0,0
The Kinks:Act Nice And Gentle,The Kinks,Act Nice And Gentle,392kAfk52bELzWAFpIrKte,0,0,0,0,0,0,0
Wayd:Dawning,Wayd,Dawning,6CD1jzDEwWssWitNDhwrZM,0,1,0,0,0,1,0
David Byrne:A Self-Made Man,David Byrne,A Self-Made Man,1WBxKxvAXfUuREpqfoWv0H,0,1,0,0,1,0,0
Cheryl Wheeler:All The Live Long Day,Cheryl Wheeler,All The Live Long Day,2XQxEXjxmQfBzxYSZw3XHN,0,0,0,0,0,0,0
Mara Carlyle:Bonding,Mara Carlyle,Bonding,1uNBldsXmHAhzXSYknpS7b,0,0,0,0,0,0,0
Cats And Cats And Cats:Match Of The Day,Cats And Cats And Cats,Match Of The Day,6dcn4ttzdGDUpNG2PScQ0f,0,0,0,0,0,0,0
Caligula's Horse:Atlas,Caligula's Horse,Atlas,17LtN7YPX88gR2hFeu4YSX,0,0,0,0,0,0,0
Reflexion:Listen To Your Heart,Reflexion,Listen To Your Heart,2E3b869ehJKZCElVyH3ojS,0,0,0,0,0,0,0
The Kinks:Alcohol,The Kinks,Alcohol,2OQDG8NwYcDvjD83iBJPFM,0,1,0,1,0,0,0
